,qwen2.5:0.5b,qwen2.5:1.5b,qwen2.5-coder:0.5b,qwen2.5-coder:1.5b,qwen3-1.7b
std-007-bootstrap-00083,agent invalid action,agent invalid action,agent invalid action,task limit reached,not_attempted
std-007-bootstrap-00086,agent invalid action,agent invalid action,agent invalid action,completed,completed
std-007-bootstrap-00085,agent invalid action,task limit reached,agent invalid action,completed,completed
std-007-bootstrap-00087,completed,completed,agent invalid action,completed,completed
std-007-bootstrap-00084,agent invalid action,completed,agent invalid action,completed,completed
std-007-bootstrap-00082,completed,agent invalid action,agent invalid action,completed,completed
std-007-bootstrap-00079,completed,agent invalid action,agent invalid action,task limit reached,completed
std-007-bootstrap-00080,agent invalid action,completed,agent invalid action,task limit reached,not_attempted
std-007-bootstrap-00081,agent invalid action,task limit reached,agent invalid action,task limit reached,completed
std-007-bootstrap-00077,agent invalid action,task limit reached,agent invalid action,task limit reached,not_attempted
std-007-bootstrap-00078,agent invalid action,task limit reached,agent invalid action,agent invalid action,completed
std-007-bootstrap-00073,agent invalid action,completed,agent invalid action,completed,completed
std-007-bootstrap-00074,completed,agent invalid action,agent invalid action,completed,completed
std-007-bootstrap-00075,agent invalid action,task limit reached,agent invalid action,completed,not_attempted
std-007-bootstrap-00076,completed,task limit reached,agent invalid action,completed,not_attempted
std-007-bootstrap-00072,agent invalid action,agent invalid action,completed,completed,completed
std-007-bootstrap-00069,agent invalid action,unknown,agent invalid action,completed,completed
std-007-bootstrap-00070,agent invalid action,unknown,agent invalid action,task limit reached,completed
std-007-bootstrap-00071,agent invalid action,unknown,agent invalid action,completed,completed
std-007-bootstrap-00068,completed,agent invalid action,agent invalid action,task limit reached,completed
std-007-bootstrap-00067,agent invalid action,task limit reached,agent invalid action,completed,completed
std-007-bootstrap-00065,completed,unknown,agent invalid action,task limit reached,not_attempted
std-007-bootstrap-00066,completed,completed,agent invalid action,completed,completed
std-007-bootstrap-00062,completed,unknown,completed,completed,completed
std-007-bootstrap-00064,agent invalid action,completed,agent invalid action,completed,completed
std-007-bootstrap-00063,agent invalid action,task limit reached,completed,completed,completed
std-007-bootstrap-00061,completed,task limit reached,completed,task limit reached,completed
std-007-bootstrap-00060,agent invalid action,completed,agent invalid action,completed,not_attempted
std-007-bootstrap-00059,agent invalid action,task limit reached,agent invalid action,task limit reached,completed
std-007-bootstrap-00055,agent invalid action,agent invalid action,agent invalid action,task limit reached,completed
std-007-bootstrap-00058,agent invalid action,task limit reached,agent invalid action,completed,completed
std-007-bootstrap-00054,agent invalid action,agent invalid action,agent invalid action,completed,completed
std-007-bootstrap-00056,completed,completed,agent invalid action,completed,completed
std-007-bootstrap-00057,agent invalid action,task limit reached,agent invalid action,completed,completed
std-007-bootstrap-00049,agent invalid action,agent invalid action,agent invalid action,completed,completed
std-007-bootstrap-00050,agent invalid action,task limit reached,agent invalid action,task limit reached,completed
std-007-bootstrap-00052,completed,task limit reached,agent invalid action,completed,completed
std-007-bootstrap-00051,agent invalid action,task limit reached,agent invalid action,task limit reached,completed
std-007-bootstrap-00053,agent invalid action,completed,agent invalid action,unknown,completed
std-007-bootstrap-00048,agent invalid action,task limit reached,agent invalid action,completed,completed
std-007-bootstrap-00046,agent invalid action,completed,agent invalid action,task limit reached,completed
std-007-bootstrap-00045,agent invalid action,task limit reached,agent invalid action,completed,completed
std-007-bootstrap-00047,agent invalid action,agent invalid action,agent invalid action,completed,completed
std-007-bootstrap-00044,agent invalid action,task limit reached,agent invalid action,task limit reached,completed
std-007-bootstrap-00043,agent invalid action,completed,agent invalid action,completed,completed
std-007-bootstrap-00041,agent invalid action,agent invalid action,agent invalid action,task limit reached,completed
std-007-bootstrap-00042,agent invalid action,unknown,agent invalid action,completed,completed
std-007-bootstrap-00040,agent invalid action,completed,agent invalid action,completed,completed
std-007-bootstrap-00039,agent invalid action,agent invalid action,agent invalid action,completed,completed
std-007-bootstrap-00034,completed,task limit reached,agent invalid action,task limit reached,completed
std-007-bootstrap-00036,completed,completed,agent invalid action,completed,completed
std-007-bootstrap-00035,completed,task limit reached,agent invalid action,completed,completed
std-007-bootstrap-00037,agent invalid action,task limit reached,agent invalid action,task limit reached,completed
std-007-bootstrap-00038,completed,task limit reached,agent invalid action,unknown,completed
std-007-bootstrap-00032,agent invalid action,agent invalid action,agent invalid action,task limit reached,completed
std-007-bootstrap-00033,completed,task limit reached,agent invalid action,completed,completed
std-007-bootstrap-00030,agent invalid action,completed,completed,completed,completed
std-007-bootstrap-00029,agent invalid action,unknown,agent invalid action,completed,not_attempted
std-007-bootstrap-00031,completed,completed,agent invalid action,completed,completed
std-007-bootstrap-00025,completed,task limit reached,agent invalid action,completed,not_attempted
std-007-bootstrap-00024,completed,agent invalid action,agent invalid action,unknown,completed
std-007-bootstrap-00026,agent invalid action,unknown,agent invalid action,task limit reached,completed
