task_id,qwen2.5:0.5b,qwen2.5:1.5b,qwen2.5-coder:0.5b,qwen2.5-coder:1.5b,qwen3-0.6b,qwen3-1.7b,qwen3-0.6b with rig
std-007-bootstrap-00083,False,False,False,False,True,,
std-007-bootstrap-00086,False,False,False,False,False,False,False
std-007-bootstrap-00085,False,False,False,False,False,False,False
std-007-bootstrap-00087,False,False,False,False,False,False,False
std-007-bootstrap-00084,False,False,False,False,False,False,False
std-007-bootstrap-00082,False,False,False,False,False,False,False
std-007-bootstrap-00079,False,False,False,False,False,True,False
std-007-bootstrap-00080,False,False,False,False,False,,False
std-007-bootstrap-00081,False,False,False,False,False,False,False
std-007-bootstrap-00077,False,False,False,False,False,,False
std-007-bootstrap-00078,False,False,False,False,False,False,False
std-007-bootstrap-00073,False,False,False,False,False,False,False
std-007-bootstrap-00074,False,False,False,False,False,False,False
std-007-bootstrap-00075,False,False,False,False,False,,False
std-007-bootstrap-00076,False,False,False,False,False,,False
std-007-bootstrap-00072,False,False,False,False,False,False,False
std-007-bootstrap-00069,False,False,False,False,False,False,False
std-007-bootstrap-00070,False,False,False,False,False,False,False
std-007-bootstrap-00071,False,False,False,False,False,False,False
std-007-bootstrap-00068,False,False,False,False,False,False,True
std-007-bootstrap-00067,False,False,False,False,False,False,True
std-007-bootstrap-00065,False,False,False,False,False,,False
std-007-bootstrap-00066,False,False,False,False,False,False,False
std-007-bootstrap-00062,False,False,False,False,False,False,False
std-007-bootstrap-00064,False,False,False,False,False,False,False
std-007-bootstrap-00063,False,False,False,True,False,True,True
std-007-bootstrap-00061,False,False,False,False,False,False,False
std-007-bootstrap-00060,False,False,False,False,False,,True
std-007-bootstrap-00059,False,False,False,False,False,False,False
std-007-bootstrap-00055,False,False,False,False,True,False,True
std-007-bootstrap-00058,False,False,False,False,False,False,False
std-007-bootstrap-00054,False,False,False,False,False,False,False
std-007-bootstrap-00056,False,False,False,False,False,False,False
std-007-bootstrap-00057,False,False,False,False,False,True,False
std-007-bootstrap-00049,False,False,False,False,False,False,False
std-007-bootstrap-00050,False,False,False,False,False,False,False
std-007-bootstrap-00052,False,False,False,False,False,True,True
std-007-bootstrap-00051,False,False,False,False,False,False,False
std-007-bootstrap-00053,False,False,False,False,False,False,False
std-007-bootstrap-00048,False,False,False,False,False,False,False
std-007-bootstrap-00046,False,False,False,False,False,False,False
std-007-bootstrap-00045,False,False,False,False,False,True,True
std-007-bootstrap-00047,False,False,False,False,False,False,False
std-007-bootstrap-00044,False,False,False,False,False,False,False
std-007-bootstrap-00043,False,False,False,False,False,False,False
std-007-bootstrap-00041,False,False,False,False,False,False,False
std-007-bootstrap-00042,False,False,False,False,False,False,False
std-007-bootstrap-00040,False,False,False,False,False,False,False
std-007-bootstrap-00039,False,False,False,False,False,False,False
std-007-bootstrap-00034,False,False,False,False,False,False,False
std-007-bootstrap-00036,False,False,False,False,False,False,False
std-007-bootstrap-00035,False,False,False,False,False,False,False
std-007-bootstrap-00037,False,False,False,False,True,False,False
std-007-bootstrap-00038,False,False,False,False,False,False,False
std-007-bootstrap-00032,False,False,False,False,False,True,False
std-007-bootstrap-00033,False,False,False,False,False,True,False
std-007-bootstrap-00030,False,False,False,False,False,False,False
std-007-bootstrap-00029,False,False,False,False,False,,
std-007-bootstrap-00031,False,False,False,False,False,False,False
std-007-bootstrap-00025,False,False,False,False,False,,False
std-007-bootstrap-00024,False,False,False,False,False,False,False
std-007-bootstrap-00026,False,False,False,False,False,False,False
std-007-bootstrap-00028,False,False,False,False,False,,False
std-007-bootstrap-00027,False,False,False,False,False,False,False
std-007-bootstrap-00022,False,False,False,False,False,False,False
std-007-bootstrap-00023,False,False,False,False,False,False,False
std-007-bootstrap-00019,False,False,False,False,False,False,False
std-007-bootstrap-00020,False,False,False,False,False,True,False
std-007-bootstrap-00018,False,False,False,False,False,,False
std-007-bootstrap-00021,False,False,False,False,False,,
std-007-bootstrap-00017,False,False,False,False,False,False,False
std-007-bootstrap-00016,False,False,False,False,False,False,False
std-007-bootstrap-00013,False,False,False,False,False,False,False
std-007-bootstrap-00012,False,False,False,False,False,,False
std-007-bootstrap-00014,False,False,False,False,False,False,False
std-007-bootstrap-00011,False,False,False,False,False,False,False
std-007-bootstrap-00010,False,False,False,False,False,False,False
std-007-bootstrap-00009,False,False,False,False,False,False,False
std-007-bootstrap-00008,False,False,False,False,False,False,False
std-007-bootstrap-00007,False,False,False,False,True,True,False
std-007-bootstrap-00006,False,False,False,False,False,False,False
std-007-bootstrap-00005,False,False,False,False,False,False,False
std-007-bootstrap-00004,False,False,False,False,False,True,False
std-007-bootstrap-00002,False,False,False,False,False,False,False
std-007-bootstrap-00001,False,False,False,False,False,True,False
std-007-bootstrap-00003,False,False,False,False,False,False,False
std-006-new-00008,False,False,False,False,False,False,False
std-007-bootstrap-00000,False,False,False,False,False,False,False
std-006-new-00007,False,False,False,False,False,False,False
std-006-new-00006,False,False,False,False,False,False,False
std-006-new-00003,False,False,False,False,False,False,False
std-006-new-00005,False,False,False,False,False,False,False
std-006-new-00004,True,True,False,True,False,False,False
std-007-bootstrap-00015,False,False,False,False,False,False,False
std-006-new-00001,False,False,False,False,False,False,False
std-005-new-00009,False,False,False,False,False,False,False
